id;zak;seminar;ro;date
2868; 155;27; 0; '2023-02-15 20:02:22'
2870; 92;16; 0; '2023-02-15 20:02:23'
2878; 102;21; 0; '2023-02-15 20:02:31'
2891; 150;1; 0; '2023-02-15 20:02:41'
2892; 150;12; 0; '2023-02-15 20:02:41'
2893; 150;24; 0; '2023-02-15 20:02:41'
2896; 24;26; 0; '2023-02-15 20:02:45'
2900; 59;20; 0; '2023-02-15 20:02:48'
2901; 107;21; 0; '2023-02-15 20:02:48'
2904; 83;11; 0; '2023-02-15 20:02:48'
2907; 161;4; 0; '2023-02-15 20:02:51'
2908; 161;31; 0; '2023-02-15 20:02:51'
2909; 161;14; 0; '2023-02-15 20:02:51'
2914; 11;10; 0; '2023-02-15 20:02:57'
2917; 101;21; 0; '2023-02-15 20:03:02'
2923; 120;21; 0; '2023-02-15 20:03:06'
2938; 133;5; 0; '2023-02-15 20:03:19'
2939; 133;17; 0; '2023-02-15 20:03:19'
2941; 16;8; 0; '2023-02-15 20:03:19'
2944; 177;5; 0; '2023-02-15 20:03:20'
2945; 177;12; 0; '2023-02-15 20:03:20'
2949; 13;8; 0; '2023-02-15 20:03:22'
2953; 117;16; 0; '2023-02-15 20:03:29'
2954; 160;12; 0; '2023-02-15 20:03:31'
2955; 160;27; 0; '2023-02-15 20:03:31'
2956; 160;19; 0; '2023-02-15 20:03:31'
2963; 25;8; 0; '2023-02-15 20:03:40'
2964; 29;26; 0; '2023-02-15 20:03:43'
2965; 74;11; 0; '2023-02-15 20:03:47'
2976; 70;21; 0; '2023-02-15 20:03:57'
2986; 81;11; 0; '2023-02-15 20:04:18'
2994; 40;20; 0; '2023-02-15 20:04:32'
2997; 159;4; 0; '2023-02-15 20:04:35'
2998; 159;1; 0; '2023-02-15 20:04:35'
2999; 159;19; 0; '2023-02-15 20:04:35'
3013; 114;11; 0; '2023-02-15 20:04:42'
3024; 89;21; 0; '2023-02-15 20:05:02'
3030; 60;26; 0; '2023-02-15 20:05:16'
3031; 52;20; 0; '2023-02-15 20:05:19'
3032; 37;20; 0; '2023-02-15 20:05:21'
3033; 47;3; 0; '2023-02-15 20:05:26'
3038; 79;11; 0; '2023-02-15 20:05:46'
3043; 19;3; 0; '2023-02-15 20:06:04'
3045; 235;15; 0; '2023-02-15 20:06:18'
3046; 235;13; 0; '2023-02-15 20:06:18'
3047; 235;7; 0; '2023-02-15 20:06:18'
3048; 235;28; 0; '2023-02-15 20:06:18'
3052; 2;8; 0; '2023-02-15 20:06:20'
3068; 5;8; 0; '2023-02-15 20:07:19'
3069; 17;10; 0; '2023-02-15 20:07:22'
3073; 129;5; 0; '2023-02-15 20:07:42'
3074; 129;17; 0; '2023-02-15 20:07:42'
3075; 129;24; 0; '2023-02-15 20:07:42'
3077; 44;26; 0; '2023-02-15 20:07:44'
3078; 20;10; 0; '2023-02-15 20:07:46'
3079; 85;21; 0; '2023-02-15 20:07:47'
3081; 76;16; 0; '2023-02-15 20:08:06'
3091; 75;11; 0; '2023-02-15 20:09:19'
3092; 137;12; 0; '2023-02-15 20:09:21'
3093; 137;22; 0; '2023-02-15 20:09:21'
3094; 137;24; 0; '2023-02-15 20:09:21'
3095; 157;1; 0; '2023-02-15 20:09:54'
3096; 157;17; 0; '2023-02-15 20:09:54'
3106; 84;16; 0; '2023-02-15 20:10:30'
3110; 56;20; 0; '2023-02-15 20:11:16'
3113; 77;11; 0; '2023-02-15 20:12:03'
3117; 39;20; 0; '2023-02-15 20:12:35'
3121; 98;26; 0; '2023-02-15 20:13:35'
3127; 63;20; 0; '2023-02-15 20:14:25'
3129; 50;3; 0; '2023-02-15 20:14:38'
3131; 38;26; 0; '2023-02-15 20:17:30'
3132; 36;10; 0; '2023-02-15 20:17:55'
3137; 100;5; 0; '2023-02-15 20:21:50'
3138; 3;10; 0; '2023-02-15 20:21:52'
3139; 51;20; 0; '2023-02-15 20:21:57'
3152; 55;3; 0; '2023-02-15 20:24:45'
3156; 146;4; 0; '2023-02-15 20:25:09'
3157; 146;32; 0; '2023-02-15 20:25:09'
3158; 146;24; 0; '2023-02-15 20:25:09'
3160; 62;26; 0; '2023-02-15 20:25:16'
3161; 78;11; 0; '2023-02-15 20:25:40'
3169; 7;3; 0; '2023-02-15 20:28:15'
3170; 73;11; 0; '2023-02-15 20:28:49'
3174; 42;3; 0; '2023-02-15 20:29:44'
3178; 65;26; 0; '2023-02-15 20:30:26'
3181; 71;11; 0; '2023-02-15 20:30:53'
3182; 165;5; 0; '2023-02-15 20:33:57'
3183; 165;31; 0; '2023-02-15 20:33:57'
3184; 165;14; 0; '2023-02-15 20:33:57'
